id,code,team,web_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
111,109745,6,Kepa,109745,55,54,142,3240,0,0,14,39,0,1,0,2,0,82,7,685,681.0,0.1,0.0,68.0
112,20310,6,Caballero,20310,50,47,13,180,0,0,2,0,0,0,0,0,0,3,0,45,24.6,1.0,0.0,2.6
113,47431,6,Willian,47431,75,71,108,2091,3,7,11,25,0,0,0,2,0,0,6,475,557.6,1165.5,742.0,246.7
114,49579,6,Pedro,49579,65,62,112,1768,8,2,7,19,0,0,0,2,0,0,12,440,530.2,503.5,733.0,176.5
115,126187,6,Loftus-Cheek,126187,55,52,79,980,6,2,5,9,0,0,0,0,0,0,6,292,391.6,254.9,346.0,99.4
116,209046,6,Hudson-Odoi,209046,45,42,18,388,0,1,2,5,0,0,0,0,0,0,1,83,89.2,143.2,133.0,36.2
117,88894,6,Barkley,88894,60,50,79,1231,3,5,7,13,0,0,0,1,0,0,5,300,324.0,349.0,429.0,110.0
118,85955,6,Jorginho,85955,50,46,96,3156,2,0,16,37,0,0,0,8,0,0,4,577,691.4,628.4,122.0,144.2
119,116594,6,Kanté,116594,50,49,116,3092,4,4,14,38,0,0,0,3,0,0,3,563,683.6,766.3,412.0,186.4
120,61603,6,Drinkwater,61603,50,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
121,199598,6,Ampadu,199598,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
432,91651,6,Kovacic,91651,60,57,64,1725,0,2,9,19,0,0,0,3,0,0,2,343,315.4,468.8,311.0,109.9
459,103192,6,Zouma,103192,50,50,112,2613,2,2,10,39,0,0,0,3,1,0,12,543,565.2,83.7,235.0,88.8
460,173879,6,Abraham,173879,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
461,94245,6,Batshuayi,94245,65,62,48,748,5,1,3,11,0,0,0,0,0,0,5,159,198.6,41.4,406.0,64.2
462,167767,6,Kenedy,167767,50,47,50,1337,1,1,6,18,0,0,1,1,0,0,1,161,212.8,187.9,297.0,69.8
123,74230,7,van Aanholt,74230,55,55,140,3196,3,2,12,46,0,0,0,3,0,0,17,626,616.0,520.4,448.0,158.7
124,49413,7,Tomkins,49413,45,43,86,2561,1,1,10,37,0,0,0,6,0,0,0,504,560.8,83.0,276.0,92.3
125,40784,7,Sakho,40784,50,49,88,2416,0,0,9,35,0,0,0,2,0,0,13,533,540.6,78.2,47.0,66.6
126,55494,7,Ward,55494,45,43,13,551,1,0,0,14,0,0,0,1,0,0,0,68,131.8,28.9,43.0,20.5
127,19188,7,Dann,19188,45,44,23,661,0,1,2,10,0,0,0,1,0,0,0,129,186.2,22.5,71.0,28.1
128,58786,7,Kelly,58786,40,39,26,1110,0,0,3,21,1,0,0,2,0,0,1,166,269.8,17.1,34.0,32.2
